Symbol,BetaEndDate,Instance,Beta,UpsideBeta,DownsideBeta
WEC-US,12/31/2021,WEC-US_12/31/2021,0.159091371,0.174543203,0.228706961
ED-US,12/31/2021,ED-US_12/31/2021,0.167177436,0.193694757,0.137973178
OKE-US,12/31/2021,OKE-US_12/31/2021,1.362680429,1.43300342,1.385355259
VLO-US,12/31/2021,VLO-US_12/31/2021,1.073142669,1.126664463,0.971885413
OKTA-US,12/31/2021,OKTA-US_12/31/2021,1.413565641,1.425950013,1.439608109
ROKU-US,12/31/2021,ROKU-US_12/31/2021,1.494058017,1.370316453,1.530970873
DASH-US,12/31/2021,DASH-US_12/31/2021,1.289968859,1.212379649,1.404157083
O-US,12/31/2021,O-US_12/31/2021,0.63761808,0.639804139,0.700414064
SYF-US,12/31/2021,SYF-US_12/31/2021,1.449519055,1.465330075,1.56628965
KSU-US,12/31/2021,KSU-US_12/31/2021,0.873190651,0.858749493,0.84848509
LUV-US,12/31/2021,LUV-US_12/31/2021,1.13178159,1.073201754,1.116908535
GNRC-US,12/31/2021,GNRC-US_12/31/2021,1.374211003,1.151611495,1.503009247
U-US,12/31/2021,U-US_12/31/2021,1.36465134,1.207789313,1.6179182
